Date,Open,High,Low,Close,Volume
02/10/2021,82600,82600,81600,81600,23025766
2/15/2021,83800,84500,83300,84200,23529706
2/16/2021,84500,86000,84200,84900,20483100
2/17/2021,83900,84200,83000,83200,18307735
2/18/2021,83200,83600,82100,82100,21327683
2/19/2021,82300,82800,81000,82600,25880879
2/22/2021,83800,84200,82200,82200,25419886
2/23/2021,81200,82900,81100,82000,20587314
2/24/2021,81800,83600,81300,82000,26807651
2/25/2021,84000,85400,83000,85300,34155986
2/26/2021,82800,83400,82000,82500,38520800
03/2/2021,85100,85300,83000,83600,33498180
03/3/2021,83500,84000,82800,84000,19882132
03/4/2021,82600,83200,82200,82400,24348331
03/5/2021,81100,82600,81100,82100,20508971
03/8/2021,82900,83000,81600,82000,17641256
03/9/2021,81400,81900,80600,81400,25420764
03/10/2021,82400,82500,80700,80900,20038422
03/11/2021,81000,82500,81000,82000,23818297
03/12/2021,83100,83500,82400,82800,13530573
3/15/2021,82800,82900,81800,81800,13735798
3/16/2021,82200,83000,82100,82800,12293537
3/17/2021,82800,82900,82000,82300,11625146
3/18/2021,82800,83800,82600,82900,18585244
3/19/2021,82100,82500,81800,81900,15869700
3/22/2021,82000,82300,81700,82000,12670506
3/23/2021,82600,82900,81800,81800,13299907
3/24/2021,81000,81600,80700,81000,17926638
3/25/2021,81000,82100,80800,81200,14758826
3/26/2021,81400,81600,81000,81500,12845778
3/29/2021,81700,81700,81000,81600,14952134
3/30/2021,81600,82300,81300,82200,13121698
3/31/2021,82400,82700,81400,81400,17240518
04/1/2021,82500,83000,82000,82900,18676461
04/2/2021,84000,85200,83900,84800,22997538
04/5/2021,85800,86000,84800,85400,16255990
04/6/2021,86200,86200,85100,86000,19042023
04/7/2021,86100,86200,85400,85600,17885538
04/8/2021,85700,85700,84100,84700,19244259
04/9/2021,84700,84900,83400,83600,18193707
04/12/2021,84100,84100,83100,83200,12915282
4/13/2021,83000,84500,82800,84000,15238206
4/14/2021,84000,84300,83400,84000,13794652
4/15/2021,83700,84500,83400,84100,16377412
4/16/2021,84700,84700,83600,83900,15429522
4/19/2021,83800,84000,83300,83300,15287311
4/20/2021,83300,84000,83100,83900,15521965
4/21/2021,83300,83500,82500,82600,21636079
4/22/2021,82900,83000,82400,82400,13934746
4/23/2021,81900,82900,81600,82800,17805080
4/26/2021,82900,83500,82600,83500,15489938
